Dive Site ID,Dive Site Name,Distance from Wreck,Lat,Lng,Record #
23369,Presque Isle,1.97,42.143528,-80.11455600000002,14620
23908,Mecosta,17.2,41.49828400000001,-81.75959300000002,14292
23908,Mecosta,16.96,41.520447999999995,-81.716076,14296
23908,Mecosta,16.34,41.512713,-81.709879,14298
22589,St. Clair River,0.1,42.993389,-82.426583,14207
22244,Thelma Spencer Park,21.13,42.326972,-83.039917,10695
22244,Thelma Spencer Park,20.75,42.336806,-83.012833,10696
24536,"Harsens Island, MI",2.5,42.548333,-82.595,10700
24536,"Harsens Island, MI",1.97,42.553360999999995,-82.58658299999998,10702
23908,Mecosta,16.76,41.516717,-81.71651899999998,1927
23908,Mecosta,21.3,41.626714,-81.536508,1936
23987,Anthony Wayne,14.41,41.650044,-82.59989399999998,1940
21593,George Worthington,11.94,41.796711,-82.816575,1965
24111,lake erie,21.65,41.841716999999996,-81.066486,1971
21593,George Worthington,21.59,41.916711,-83.16659200000002,1984
21577,Frank E. Vigor,7.62,41.956978,-81.960975,2001
21593,George Worthington,22.18,42.091708000000004,-83.146589,2022
24111,lake erie,15.77,42.158372,-81.24316400000002,2031
22244,Thelma Spencer Park,24.98,42.266703,-83.108253,2039
22244,Thelma Spencer Park,24.98,42.266703,-83.108253,2040
21415,Lycoming,6.35,42.271383,-80.799817,2042
23369,Presque Isle,22.35,42.291722,-79.69976700000002,2045
21202,C. B. Benson,22.07,42.400056,-79.599769,2120
23908,Mecosta,15.45,41.49501400000001,-81.712869,13898
23908,Mecosta,15.81,41.501994,-81.71235300000002,13900
23908,Mecosta,15.81,41.498308,-81.71865,13901
23908,Mecosta,15.78,41.497817,-81.718547,13902
23369,Presque Isle,24.18,42.000056,-80.51646099999998,2947
21588,William H. Wolf,5.17,42.753694,-82.475139,14208
23908,Mecosta,16.83,41.513194,-81.725045,14297
23369,Presque Isle,2.93,42.129333,-80.11361099999998,14615
22187,Rat Island,4.75,18.448611,-65.59944399999999,15083
22975,Captains Reef USVI,0.54,18.327806,-64.958917,8744
22975,Captains Reef USVI,0.41,18.326253,-64.957542,11853
22975,Captains Reef USVI,0.46,18.330389,-64.954472,11854
22975,Captains Reef USVI,0.35,18.329167,-64.95030600000001,11855
22975,Captains Reef USVI,0.49,18.323817000000002,-64.959108,11856
22975,Captains Reef USVI,0.15,18.326375,-64.95135,11857
23268,Puerto Rico,23.67,17.932192,-66.260378,11014
22975,Captains Reef USVI,0.5,18.329722,-64.946667,11049
24082,Coki Beach,0.78,18.351342000000002,-64.853611,11054
18549,La Pared de la Parguera,9.16,17.945089000000007,-66.627319,11762
18549,La Pared de la Parguera,9.99,17.973667000000006,-66.61694200000001,11767
18549,La Pared de la Parguera,9.96,17.966914000000006,-66.616289,11768
23268,Puerto Rico,23.72,17.931778,-66.259333,11819
23774,Escambro,2.25,18.472306,-66.13905600000001,907
22975,Captains Reef USVI,0.61,18.333011,-64.952922,1266
22975,Captains Reef USVI,0.22,18.327011,-64.950194,1297
22975,Captains Reef USVI,0.2,18.326847,-64.950272,1298
24392,Blue Chute,0.92,17.748306,-64.702917,790
22155,The Indians,2.79,18.345231,-64.669022,791
22628,Carval Rock,2.55,18.354675,-64.75958100000001,792
22628,Carval Rock,1.55,18.361342,-64.77319200000001,794
22628,Carval Rock,3.01,18.364675,-64.749581,795
23386,St. John,3.0,17.757194000000005,-64.604861,6835
23774,Escambro,1.85,18.4715,-66.130611,7052
22975,Captains Reef USVI,1.32,18.335744000000002,-64.935653,14041
22975,Captains Reef USVI,1.93,18.335082999999997,-64.924625,14042
18501,Figure Eight Reef,0.5,18.459114000000003,-66.09272800000001,13780
18501,Figure Eight Reef,1.34,18.450525,-66.10175600000001,13784
23774,Escambro,1.55,18.481217,-66.132017,13785
23774,Escambro,1.05,18.484647,-66.125219,13786
23852,Frederiksted Pier,0.41,17.712142,-64.890128,12196
23773,Fajardo cave,4.1,18.223028,-65.61627800000001,10079
23773,Fajardo cave,4.49,18.221444,-65.600806,10082
22975,Captains Reef USVI,1.29,18.330839,-64.933231,9770
22975,Captains Reef USVI,1.3,18.330803,-64.93314699999999,9771
22975,Captains Reef USVI,1.31,18.330617,-64.932936,9772
22975,Captains Reef USVI,1.18,18.329711,-64.934667,9773
22975,Captains Reef USVI,1.37,18.331017000000006,-64.932119,9774
22975,Captains Reef USVI,1.23,18.330619,-64.934256,9775
22975,Captains Reef USVI,1.4,18.333578,-64.932836,9777
22975,Captains Reef USVI,1.27,18.331192,-64.933839,9778
22975,Captains Reef USVI,1.09,18.335075,-64.939711,9781
22975,Captains Reef USVI,1.09,18.335283,-64.93975,9782
22975,Captains Reef USVI,1.1,18.335694,-64.940039,9784
22975,Captains Reef USVI,1.52,18.325164,-64.928556,9785
